Date,Price_Per_Unit,Advertising_costs,Discount,Temperature,Monthly_sales_total
1/4/2004,7.786638435829394,7373622.123,0.0,33.0,658663892.3
1/8/2004,10.9,6808533.725,0.654,36.0,671827494.7
1/7/2004,10.8,6650320.945,0.8532,30.0,677114762.8
1/9/2004,9.7,6926868.075,0.6111,26.0,678107834.5
1/6/2004,8.4,6957573.2579999985,0.672,22.0,679605633.4
1/5/2004,9.9,8297727.131,0.6732,34.0,683850798.0
1/3/2004,8.5,8247021.827,0.5695,33.0,684804727.4
1/10/2004,9.7,7451394.112000002,0.7372,20.0,695634327.5
1/11/2004,9.6,7338173.128,0.9312,37.0,710355148.8
1/12/2004,8.3,7538991.494,0.5395,22.0,723686258.1
1/12/2005,11.1,6098611.799,0.5328,28.0,567065057.2
1/1/2005,10.6,6063523.547,0.4558,34.0,579082142.3
1/11/2005,11.8,6063523.547,0.649,32.0,634134803.1
1/8/2005,10.6,6201478.7579999985,0.3816,36.0,640890684.8
1/5/2005,10.6,5918917.382,0.4664,34.0,643111941.2
1/4/2005,10.9,6268148.422,0.7085,23.0,650102504.1
1/2/2005,9.2,7437522.046,0.4876,35.0,654921708.3
1/9/2005,10.6,7408825.502,0.477,31.0,658812409.0
1/6/2005,10.5,7450141.896000002,0.7035,19.0,662985769.6
1/3/2005,9.6,7521874.187000001,0.6144,24.0,665098238.1
1/7/2005,8.5,7371884.481000002,0.6629999999999999,29.0,665737476.5
1/10/2005,8.9,6699160.789,0.5874,37.0,673435229.6
1/1/2006,9.9,6028020.037000001,0.3564,35.0,587831693.4
1/8/2006,9.9,6028020.037000001,0.4851,26.0,612722341.1
1/4/2006,9.5,6028020.037000001,0.3325,36.0,638190044.4
1/10/2006,10.9,6133294.067000002,0.5777,31.0,644565925.7
1/2/2006,9.3,6201478.7579999985,0.4371,27.0,647714509.8
1/3/2006,10.8,7306475.031,0.54,28.0,651196541.7
1/7/2006,9.5,7506335.036,0.513,35.0,656776153.4
1/12/2006,10.7,7234954.839,0.5778,26.0,662443587.2
